s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2001,1.596754873,1.45731994,1.556273763,1.664223388,1.610248576,1.547277961,1.592256972,1.605750675,1.511294753,1.583261169,1.718198201,1.556273763,1.58775907,1.601252774,1.488805247,1.524788456,1.574265367,1.790164618,1.655227586,1.740687706,1.614746477,1.691210795,1.605750675,1.578763268,1.686712894,1.551775862,1.583261169,1.54278006,1.583261169,1.529286357
2101,1.619282913,1.610715278,1.760648881,1.559309472,1.465065493,1.627850547,1.555025654,1.739229795,1.555025654,1.435078772,1.666404902,1.516471299,1.59358001,1.610715278,1.533606568,1.443646406,1.555025654,1.602147644,1.542174203,1.533606568,1.662121085,1.62356673,1.657837268,1.585012375,1.529322751,1.576444741,1.533606568,1.657837268,1.580728558,1.490768396
2201,1.578426079,1.525266652,1.549801772,1.607050386,1.619317946,1.504820718,1.619317946,1.557980145,1.62749632,1.418947796,1.545712585,1.541623398,1.562069332,1.729725988,1.635674693,1.545712585,1.541623398,1.647942254,1.582515266,1.619317946,1.623407133,1.517088278,1.607050386,1.521177465,1.643853067,1.574336892,1.553890959,1.631585507,1.602961199,1.611139573
2301,1.717136767,1.576323729,1.701490874,1.599792568,1.564589309,1.47071395,1.611526988,1.556766362,1.627172881,1.681933507,1.580235202,1.552854889,1.568500782,1.631084355,1.638907301,1.646730248,1.537208996,1.619349935,1.513740156,1.455068057,1.670199087,1.50591721,1.548943416,1.541120469,1.627172881,1.646730248,1.595881095,1.537208996,1.603704042,1.631084355
2401,1.671859142,1.668110579,1.563150812,1.701847647,1.743081841,1.540659434,1.503173803,1.6456192,1.589390754,1.521916618,1.431951104,1.694350521,1.65686489,1.59688788,1.570647938,1.589390754,1.600636443,1.683104831,1.600636443,1.6456192,1.686853394,1.690601958,1.611882132,1.551905123,1.574396501,1.555653686,1.623127822,1.600636443,1.668110579,1.686853394
2501,1.608610196,1.626603599,1.727366653,1.676985126,1.547432627,1.554629988,1.612208876,1.493452419,1.522241863,1.648195682,1.640998321,1.626603599,1.630202279,1.543833946,1.486255058,1.691379848,1.533037905,1.597814154,1.56902471,1.601412835,1.482656377,1.601412835,1.561827349,1.666189084,1.623004918,1.486255058,1.70577457,1.561827349,1.576222071,1.583419432
2601,1.629812111,1.602129527,1.712859862,1.705939216,1.647113725,1.612510496,1.550224683,1.553685006,1.64019308,1.64019308,1.567526298,1.626351788,1.647113725,1.584827912,1.595208881,1.532923068,1.626351788,1.674796309,1.674796309,1.570986621,1.536383391,1.657494694,1.60558985,1.712859862,1.581367589,1.615970819,1.681716955,1.48793887,1.66441534,1.526002422
2701,1.512823473,1.546145576,1.666105146,1.566138837,1.559474417,1.542813365,1.556142207,1.529484524,1.616121992,1.502826842,1.526152314,1.442847057,1.549477786,1.642779674,1.606125361,1.512823473,1.532816735,1.569471048,1.446179267,1.676101777,1.529484524,1.569471048,1.666105146,1.632783043,1.569471048,1.546145576,1.489498001,1.502826842,1.566138837,1.619454202
2801,1.606622635,1.503798786,1.545570975,1.568063692,1.696593502,1.645181578,1.661247804,1.564850446,1.629115352,1.590556408,1.600196144,1.587343163,1.568063692,1.54878422,1.67088754,1.661247804,1.513438522,1.72551271,1.60983588,1.516651767,1.564850446,1.523078258,1.561637201,1.638755087,1.455600107,1.632328597,1.658034559,1.532717994,1.616262371,1.706233238
2901,1.551240951,1.641212927,1.600880662,1.504703723,1.603983144,1.765312203,1.557445915,1.563650879,1.579163289,1.641212927,1.666032782,1.669135264,1.659827818,1.64741789,1.566753361,1.653622854,1.548138469,1.600880662,1.591573216,1.526421096,1.588470734,1.560548397,1.616393071,1.628802999,1.538831024,1.535728542,1.656725336,1.560548397,1.526421096,1.507806205
3001,1.577526758,1.520543852,1.589523159,1.637508764,1.538538454,1.628511463,1.610516861,1.526542053,1.694491669,1.712486271,1.562531256,1.631510563,1.670498867,1.694491669,1.59552136,1.661501566,1.694491669,1.586524059,1.619514162,1.571528557,1.50254925,1.685494369,1.610516861,1.544536654,1.661501566,1.568529457,1.514545651,1.484554648,1.664500666,1.541537554
3101,1.605019639,1.587605321,1.703700774,1.573093389,1.538264753,1.56438623,1.544069526,1.573093389,1.645653047,1.567288617,1.68338407,1.587605321,1.605019639,1.634043502,1.59631248,1.500533731,1.59631248,1.573093389,1.642750661,1.538264753,1.65145782,1.680481683,1.610824411,1.570191003,1.663067365,1.552776685,1.636945888,1.59631248,1.692091229,1.535362367
3201,1.664535333,1.59143074,1.616736176,1.653288472,1.515514433,1.675782193,1.594242455,1.509891003,1.582995595,1.667347048,1.543631584,1.473338707,1.464903561,1.656100187,1.597054171,1.526761293,1.566125305,1.605489316,1.613924461,1.557690159,1.605489316,1.709522774,1.478962137,1.622359606,1.608301031,1.507079288,1.529573008,1.560501874,1.535196439,1.599865886
3301,1.625016298,1.491415965,1.545946713,1.616836686,1.605930536,1.736804332,1.589571312,1.592297849,1.480509815,1.554126325,1.597750924,1.575938625,1.676820509,1.720445108,1.562305938,1.611383611,1.65500821,1.543220176,1.540493638,1.597750924,1.491415965,1.597750924,1.597750924,1.551399788,1.545946713,1.619563223,1.554126325,1.526860951,1.554126325,1.625016298
3401,1.60634581,1.564003911,1.593113966,1.601053073,1.516369274,1.593113966,1.587821229,1.616931285,1.619577654,1.52430838,1.640748603,1.569296648,1.598406704,1.630163128,1.569296648,1.436978212,1.54547933,1.550772067,1.601053073,1.548125698,1.532247486,1.706907821,1.577235754,1.611638547,1.558711173,1.669858659,1.537540223,1.632809497,1.638102235,1.593113966
3501,1.609308141,1.588741902,1.609308141,1.568175664,1.547609426,1.506476949,1.61187892,1.591312682,1.578458783,1.599025021,1.555321765,1.511618509,1.583600343,1.478198372,1.583600343,1.593883462,1.552750985,1.593883462,1.704426992,1.647869837,1.491052271,1.632445159,1.681289974,1.637586718,1.647869837,1.599025021,1.519330848,1.635015938,1.545038646,1.622162039
3601,1.692086393,1.552120605,1.649596779,1.659594335,1.509630991,1.554619994,1.599608998,1.632101055,1.649596779,1.692086393,1.542123049,1.564617551,1.554619994,1.599608998,1.617104721,1.599608998,1.56711694,1.67209128,1.542123049,1.572115718,1.612105943,1.51462977,1.554619994,1.629601666,1.569616329,1.524627326,1.594610219,1.559618773,1.604607776,1.622103499
3701,1.61718441,1.626911835,1.490727884,1.546660578,1.502887166,1.660957822,1.566115428,1.646366685,1.71445866,1.631775547,1.634207403,1.639071116,1.702299379,1.563683572,1.609888841,1.570979141,1.626911835,1.536933153,1.61718441,1.668253391,1.536933153,1.583138422,1.658525966,1.481000459,1.524773872,1.639071116,1.602593272,1.71445866,1.534501297,1.629343691
3801,1.491762431,1.546223599,1.539119968,1.619627782,1.614892028,1.624363536,1.624363536,1.693031965,1.558062983,1.702503473,1.643306551,1.584109629,1.432565509,1.605420521,1.56043086,1.74986101,1.562798737,1.579373875,1.59121326,1.645674428,1.569902368,1.588845383,1.548591476,1.584109629,1.536752092,1.619627782,1.517809077,1.532016338,1.631467167,1.59831689
3901,1.61733153,1.661167906,1.635788952,1.545809023,1.598874109,1.587338221,1.635788952,1.575802333,1.603488464,1.619638708,1.603488464,1.580416688,1.610409997,1.580416688,1.531965957,1.707311459,1.575802333,1.5688808,1.598874109,1.61733153,1.702697103,1.658860728,1.591952576,1.564266445,1.596566932,1.492743937,1.564266445,1.693468393,1.670396616,1.596566932
4001,1.556662734,1.682635441,1.653391777,1.603902499,1.538666633,1.572409323,1.56116176,1.646643239,1.540916146,1.646643239,1.606152012,1.57015981,1.646643239,1.666888853,1.588155911,1.696132517,1.576908348,1.660140315,1.680385929,1.637645189,1.610651037,1.585906398,1.511672482,1.603902499,1.57015981,1.673637391,1.635395676,1.57015981,1.617399575,1.567910297
4101,1.490174031,1.619658961,1.584544404,1.50553665,1.593323043,1.652578859,1.606491002,1.569181785,1.571376445,1.613074982,1.610880322,1.545040527,1.527483248,1.573571105,1.599907023,1.571376445,1.595517703,1.551624506,1.580155084,1.518704609,1.63282692,1.560403146,1.566987125,1.597712363,1.667941478,1.536261887,1.591128383,1.588933723,1.63063226,1.564792465
4201,1.473983909,1.585389669,1.673228826,1.561823066,1.59824418,1.608956272,1.617525946,1.585389669,1.561823066,1.555395811,1.593959343,1.623953202,1.645377386,1.589674506,1.647519805,1.566107903,1.510405023,1.593959343,1.561823066,1.634665294,1.69679543,1.604671435,1.675371245,1.568250321,1.583247251,1.690368174,1.619668365,1.572535158,1.643234968,1.461129398
4301,1.538065682,1.565269565,1.596658661,1.615492118,1.538065682,1.565269565,1.632232969,1.594566054,1.598751267,1.678270309,1.582010416,1.680362916,1.55689914,1.55689914,1.598751267,1.577825203,1.48156531,1.628047756,1.62595515,1.623862544,1.577825203,1.632232969,1.590380842,1.623862544,1.548528714,1.561084352,1.605029086,1.569454778,1.667807277,1.529695257
4401,1.541973688,1.699443149,1.582874847,1.535838514,1.494937355,1.697398091,1.646271643,1.615595774,1.58901002,1.591055078,1.521523108,1.605370484,1.51947805,1.499027471,1.58901002,1.701488207,1.595145194,1.676947512,1.613550716,1.603325426,1.576739673,1.613550716,1.65854199,1.574694615,1.525613224,1.560379209,1.650361759,1.603325426,1.629911179,1.580829789
4501,1.571703133,1.549707287,1.545708043,1.623693313,1.545708043,1.577702,1.635691046,1.649688403,1.611695579,1.609695956,1.623693313,1.561705021,1.599697845,1.493717863,1.557705776,1.613695201,1.513714086,1.641689913,1.583700866,1.597698223,1.67368387,1.533710309,1.539709176,1.56970351,1.535709931,1.555706154,1.649688403,1.615694823,1.545708043,1.493717863
4601,1.557104716,1.606008759,1.692079874,1.562973201,1.613833406,1.59622795,1.555148555,1.656868963,1.58449098,1.604052597,1.625570376,1.697948359,1.615789567,1.523849967,1.613833406,1.64121967,1.619701891,1.56101704,1.598184112,1.54928007,1.637307346,1.514069159,1.598184112,1.557104716,1.684255227,1.606008759,1.602096436,1.615789567,1.574710172,1.553192393
4701,1.623538481,1.661829483,1.644598532,1.506750925,1.535469177,1.59482023,1.654171283,1.631196682,1.631196682,1.537383727,1.552700128,1.707778685,1.615880281,1.646513082,1.680974984,1.506750925,1.652256733,1.548871027,1.59673478,1.569931078,1.59673478,1.525896426,1.531640077,1.59290568,1.525896426,1.571845629,1.573760179,1.522067326,1.627367581,1.525896426
4801,1.60096984,1.563476401,1.593471152,1.674082045,1.574724432,1.510985586,1.531606978,1.567225745,1.617841887,1.578473776,1.660959342,1.651585982,1.60096984,1.44724674,1.525982962,1.570975089,1.604719184,1.604719184,1.599095168,1.619716559,1.59159648,1.636588607,1.629089919,1.482865507,1.66845803,1.606593855,1.554103041,1.655335326,1.542855009,1.503486899
4901,1.669306815,1.573812916,1.557285125,1.553612283,1.513211018,1.594013548,1.559121547,1.606868496,1.610541339,1.672979657,1.722563028,1.62890555,1.592177127,1.627069129,1.614214181,1.663797552,1.535248072,1.641760498,1.621559865,1.64543334,1.627069129,1.553612283,1.542593756,1.601359233,1.595849969,1.595849969,1.544430178,1.557285125,1.544430178,1.577485758
5001,1.578336953,1.646725555,1.583736053,1.585535753,1.538743551,1.526145651,1.556740552,1.49195135,1.594534253,1.635927355,1.538743551,1.605332454,1.594534253,1.558540252,1.558540252,1.533344451,1.713314457,1.644925855,1.617930354,1.538743551,1.572937852,1.554940852,1.619730054,1.623329454,1.587335453,1.625129154,1.581936353,1.634127654,1.596333953,1.625129154
5101,1.602092217,1.609149892,1.653260361,1.61267873,1.637380592,1.582683611,1.586212449,1.589741286,1.630322917,1.572097099,1.605621055,1.660318036,1.494462674,1.510342443,1.619736405,1.621500823,1.605621055,1.595034542,1.610914311,1.676197804,1.563275005,1.603856636,1.572097099,1.536808724,1.538573143,1.676197804,1.625029661,1.519164536,1.575625936,1.587976867
5201,1.55225324,1.567827687,1.604168064,1.621473005,1.519373851,1.638777947,1.645699923,1.58167164,1.673387829,1.638777947,1.548792251,1.590324111,1.585132628,1.692423265,1.637047452,1.630125476,1.680309806,1.528026322,1.623203499,1.640508441,1.47265051,1.637047452,1.614551029,1.55225324,1.61109004,1.536678793,1.597246087,1.453615074,1.548792251,1.564366699
5301,1.658798925,1.582395699,1.592582796,1.553532258,1.64351828,1.689360215,1.54674086,1.536553763,1.626539785,1.626539785,1.592582796,1.595978495,1.599374194,1.624841935,1.621446237,1.645216129,1.623144086,1.599374194,1.614654839,1.601072043,1.580697849,1.558625806,1.575604301,1.536553763,1.492409677,1.573906452,1.607863441,1.624841935,1.67407957,1.670683871
5401,1.513103573,1.5897586,1.508104333,1.678078522,1.5897586,1.634751768,1.583092946,1.619754046,1.594757841,1.566428809,1.654748732,1.591425014,1.5530975,1.618087632,1.604756323,1.57142805,1.60808915,1.621420459,1.666413627,1.544765432,1.551431087,1.569761637,1.668080041,1.543099019,1.49310661,1.578093705,1.623086873,1.588092187,1.588092187,1.599757082
5501,1.541225704,1.595217688,1.601762171,1.675387602,1.570675877,1.560859153,1.546134067,1.588673205,1.544497946,1.631212343,1.562495274,1.55431467,1.560859153,1.569039756,1.601762171,1.505231049,1.578856481,1.572311998,1.591945446,1.539589584,1.557586911,1.601762171,1.542861825,1.578856481,1.542861825,1.667206999,1.644301309,1.598489929,1.621395619,1.591945446
