s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1101,1.49596267,1.692154496,1.438740054,1.430565395,1.724853134,1.479613351,1.553185286,1.618582561,1.700329155,1.733027793,1.618582561,1.487788011,1.50413733,1.50413733,1.585883924,1.675805177,1.602233243,1.692154496,1.479613351,1.553185286,1.479613351,1.512311989,1.536835967,1.651281199,1.545010627,1.626757221,1.822949046,1.577709264,1.594058583,1.675805177
1201,1.603717069,1.626199084,1.895983264,1.596223064,1.581235054,1.731115154,1.656175104,1.656175104,1.446342964,1.491306994,1.506295004,1.581235054,1.783573189,1.603717069,1.536271024,1.701139134,1.633693089,1.521283014,1.528777019,1.633693089,1.551259034,1.536271024,1.566247044,1.761091174,1.596223064,1.498800999,1.483812989,1.543765029,1.648681099,1.618705079
1301,1.563464873,1.528874942,1.570382859,1.701824596,1.438941122,1.577300846,1.549628901,1.729496541,1.494285012,1.632644735,1.625726749,1.660316679,1.660316679,1.639562721,1.584218832,1.611890776,1.653398693,1.487367025,1.598054804,1.681070638,1.508120984,1.397433205,1.445859108,1.535792929,1.632644735,1.701824596,1.736414527,1.584218832,1.660316679,1.598054804
1401,1.541807281,1.618897645,1.52253469,1.496837901,1.567504069,1.728108994,1.606049251,1.573928266,1.593200857,1.663867024,1.516110493,1.580352463,1.516110493,1.535383084,1.503262099,1.535383084,1.670291221,1.599625054,1.516110493,1.554655675,1.561079872,1.695988009,1.554655675,1.612473448,1.554655675,1.599625054,1.695988009,1.695988009,1.612473448,1.882289722
1501,1.523035443,1.547020253,1.594989873,1.499050633,1.565008861,1.582997468,1.565008861,1.571005063,1.511043038,1.630967089,1.49305443,1.624970886,1.577001266,1.523035443,1.624970886,1.487058228,1.594989873,1.594989873,1.858822785,1.690929114,1.541024051,1.541024051,1.571005063,1.582997468,1.780872152,1.582997468,1.451081013,1.523035443,1.624970886,1.612978481
1601,1.613420425,1.652772142,1.686502186,1.484121924,1.579690381,1.512230294,1.613420425,1.529095315,1.658393816,1.534716989,1.613420425,1.551582011,1.512230294,1.495365272,1.697745534,1.613420425,1.495365272,1.523473641,1.708988882,1.562825359,1.489743598,1.568447033,1.624663773,1.669637164,1.574068707,1.686502186,1.613420425,1.607798751,1.574068707,1.641528795
1701,1.582063316,1.529151499,1.645557496,1.698469312,1.545025044,1.666722222,1.661431041,1.592645679,1.465657319,1.555607407,1.560898589,1.603228042,1.550316226,1.597936861,1.624392769,1.555607407,1.555607407,1.698469312,1.709051675,1.656139859,1.560898589,1.619101587,1.449783774,1.545025044,1.523860317,1.391580776,1.656139859,1.597936861,1.608519224,1.629683951
1801,1.544193615,1.649138812,1.47423015,1.569180566,1.534198834,1.46923276,1.599164908,1.759081399,1.47922754,1.614157079,1.47423015,1.659133592,1.77407357,1.524204053,1.589170128,1.634146641,1.61915447,1.699112715,1.76907618,1.599164908,1.714104886,1.599164908,1.579175347,1.494219711,1.729097057,1.654136202,1.62914925,1.584172737,1.494219711,1.514209273
1901,1.557653183,1.770706049,1.529246134,1.567122199,1.619201789,1.79437859,1.586060231,1.657077854,1.619201789,1.595529248,1.661812362,1.429821462,1.548184166,1.562387691,1.661812362,1.600263756,1.481901052,1.467697528,1.472432036,1.557653183,1.713891952,1.458228511,1.680750395,1.59079474,1.552918674,1.567122199,1.529246134,1.500839085,1.548184166,1.600263756
2001,1.67321919,1.695708696,1.45731994,1.601252774,1.547277961,1.623742279,1.601252774,1.646231784,1.691210795,1.605750675,1.67321919,1.58775907,1.601252774,1.659725487,1.58775907,1.515792654,1.619244378,1.686712894,1.632738081,1.556273763,1.556273763,1.601252774,1.646231784,1.578763268,1.538282159,1.556273763,1.583261169,1.54278006,1.632738081,1.610248576
