s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
100,1.530051,1.6200539999999999,1.8000599999999998,1.530051,1.6200539999999999,1.710057,1.3500449999999997,1.6200539999999999,1.8000599999999998,1.710057,1.530051,1.3500449999999997,1.6200539999999999,1.8000599999999998,1.2600419999999999,1.530051,1.440048,1.6200539999999999,1.710057,1.530051,1.440048,1.3500449999999997,1.710057,1.440048,1.440048,1.6200539999999999,1.710057,1.8000599999999998,1.440048,1.6200539999999999,1.710057,1.530051,1.440048,1.8000599999999998,1.440048,1.8000599999999998,1.710057,2.0700689999999997,1.710057,1.9800659999999999,1.6200539999999999,1.530051,1.6200539999999999,1.530051,1.530051,1.6200539999999999,1.440048,1.8000599999999998,1.710057,1.530051
200,1.7550584999999999,1.530051,1.8450615,1.6200539999999999,1.5750525,1.530051,1.7550584999999999,1.5750525,1.8450615,1.3500449999999997,1.6200539999999999,1.530051,1.5750525,1.5750525,1.710057,1.710057,1.4850494999999997,1.440048,1.6200539999999999,1.710057,1.7550584999999999,1.6650555,1.3500449999999997,1.530051,1.530051,1.530051,1.6200539999999999,1.4850494999999997,1.4850494999999997,1.440048,1.8900629999999998,1.3950465,1.5750525,1.8000599999999998,1.440048,1.4850494999999997,1.5750525,1.710057,1.4850494999999997,1.6200539999999999,1.3950465,1.7550584999999999,1.710057,1.8450615,1.8000599999999998,1.5750525,1.440048,1.6650555,1.530051,1.440048
300,1.6200539999999999,1.680056,1.4700489999999997,1.5300509999999998,1.6500549999999998,1.5300509999999998,1.680056,1.320044,1.6200539999999999,1.6200539999999999,1.5600519999999998,1.6500549999999998,1.5300509999999998,1.6200539999999999,1.6200539999999999,1.5600519999999998,1.6500549999999998,1.8000599999999998,1.5300509999999998,1.5300509999999998,1.4700489999999997,1.6200539999999999,1.320044,1.4700489999999997,1.350045,1.5600519999999998,1.5600519999999998,1.4700489999999997,1.6500549999999998,1.5300509999999998,1.680056,1.590053,1.5000499999999999,1.590053,1.6200539999999999,1.6500549999999998,1.590053,1.590053,1.8000599999999998,1.410047,1.6200539999999999,1.7400579999999999,1.5300509999999998,1.6200539999999999,1.6500549999999998,1.5300509999999998,1.590053,1.410047,1.6500549999999998,1.5000499999999999
400,1.530051,1.5750525,1.5750525,1.6200539999999999,1.64255475,1.530051,1.710057,1.5750525,1.6200539999999999,1.6650555,1.4850494999999997,1.4850494999999997,1.6875562499999999,1.59755325,1.7550584999999999,1.4175472499999997,1.46254875,1.530051,1.6200539999999999,1.55255175,1.5750525,1.530051,1.55255175,1.73255775,1.6650555,1.5750525,1.5750525,1.59755325,1.55255175,1.4850494999999997,1.530051,1.73255775,1.7550584999999999,1.50755025,1.6650555,1.530051,1.6200539999999999,1.59755325,1.7550584999999999,1.6650555,1.50755025,1.530051,1.5750525,1.530051,1.5750525,1.530051,1.6875562499999999,1.50755025,1.4850494999999997,1.55255175
500,1.6560551999999997,1.4760491999999998,1.7280575999999999,1.7280575999999999,1.7280575999999999,1.4760491999999998,1.5300509999999998,1.5300509999999998,1.6740557999999999,1.6740557999999999,1.6020533999999997,1.6380546,1.5120504,1.6560551999999997,1.7100569999999997,1.6740557999999999,1.6380546,1.6020533999999997,1.6380546,1.5840528,1.4760491999999998,1.4580486,1.6020533999999997,1.6200539999999999,1.7100569999999997,1.4040468,1.6560551999999997,1.6200539999999999,1.5840528,1.5120504,1.5660522,1.5840528,1.4940497999999998,1.3860462,1.5840528,1.6020533999999997,1.5480515999999998,1.5480515999999998,1.4940497999999998,1.7100569999999997,1.3680455999999999,1.4940497999999998,1.7460582,1.5840528,1.6380546,1.5120504,1.5480515999999998,1.6020533999999997,1.6740557999999999,1.6020533999999997
600,1.6500549999999998,1.5750525,1.6950564999999997,1.6650554999999998,1.6650554999999998,1.5450515,1.5750525,1.5750525,1.6650554999999998,1.680056,1.5300509999999998,1.5600519999999998,1.590053,1.4700489999999997,1.5000499999999999,1.6350544999999999,1.590053,1.5600519999999998,1.5450515,1.6650554999999998,1.5000499999999999,1.5750525,1.6050535,1.6350544999999999,1.5450515,1.6050535,1.7250575,1.5450515,1.6050535,1.5300509999999998,1.6350544999999999,1.590053,1.7850594999999998,1.5600519999999998,1.6500549999999998,1.590053,1.6500549999999998,1.6950564999999997,1.4250474999999998,1.5000499999999999,1.6950564999999997,1.5450515,1.6500549999999998,1.6350544999999999,1.5450515,1.6200539999999999,1.6350544999999999,1.5450515,1.5600519999999998,1.6650554999999998
700,1.4786207142857142,1.6457691428571428,1.5557661428571428,1.4914782857142856,1.4914782857142856,1.6714842857142858,1.6071964285714284,1.6071964285714284,1.6071964285714284,1.5943388571428572,1.5943388571428572,1.5429085714285713,1.6329115714285714,1.5943388571428572,1.4914782857142856,1.5557661428571428,1.658626714285714,1.5429085714285713,1.4657631428571427,1.5686237142857142,1.6200539999999997,1.5814812857142855,1.414332857142857,1.6971994285714282,1.6329115714285714,1.710057,1.5943388571428572,1.6714842857142858,1.6457691428571428,1.5300509999999998,1.6071964285714284,1.6714842857142858,1.5171934285714286,1.6200539999999997,1.440048,1.6329115714285714,1.6071964285714284,1.5686237142857142,1.658626714285714,1.5300509999999998,1.6071964285714284,1.4657631428571427,1.6329115714285714,1.6329115714285714,1.6329115714285714,1.6457691428571428,1.504335857142857,1.3757601428571427,1.6714842857142858,1.6071964285714284
800,1.541301375,1.6875562499999999,1.6200539999999999,1.59755325,1.59755325,1.5750525,1.5750525,1.541301375,1.6650555,1.64255475,1.59755325,1.586302875,1.5750525,1.59755325,1.710057,1.631304375,1.530051,1.6538051249999999,1.710057,1.55255175,1.496299875,1.5750525,1.55255175,1.563802125,1.50755025,1.563802125,1.541301375,1.440048,1.608803625,1.4175472499999997,1.5750525,1.64255475,1.563802125,1.6538051249999999,1.6650555,1.743808125,1.698806625,1.59755325,1.50755025,1.5750525,1.541301375,1.541301375,1.631304375,1.608803625,1.518800625,1.55255175,1.6200539999999999,1.6650555,1.6200539999999999,1.586302875
900,1.590053,1.5600519999999998,1.5400513333333334,1.750058333333333,1.6500549999999998,1.5700523333333334,1.6100536666666665,1.6400546666666667,1.590053,1.630054333333333,1.600053333333333,1.6400546666666667,1.5500516666666666,1.5800526666666665,1.5600519999999998,1.710057,1.5800526666666665,1.5800526666666665,1.5800526666666665,1.600053333333333,1.6800559999999998,1.6100536666666665,1.5600519999999998,1.5600519999999998,1.6200539999999999,1.5100503333333333,1.590053,1.7000566666666665,1.5000499999999999,1.630054333333333,1.5500516666666666,1.630054333333333,1.590053,1.5300509999999998,1.5100503333333333,1.5400513333333334,1.5800526666666665,1.6700556666666666,1.600053333333333,1.6800559999999998,1.710057,1.720057333333333,1.590053,1.6400546666666667,1.630054333333333,1.4900496666666665,1.5300509999999998,1.600053333333333,1.5600519999999998,1.6400546666666667
1000,1.6110537,1.5570518999999998,1.5030500999999998,1.5570518999999998,1.6740557999999999,1.6920564,1.5210506999999998,1.5930530999999999,1.5660522,1.5660522,1.5480515999999998,1.5840528,1.5300509999999998,1.7010566999999999,1.6290542999999997,1.6560551999999997,1.6560551999999997,1.4760491999999998,1.6470548999999999,1.6290542999999997,1.6020533999999997,1.5570518999999998,1.5390513,1.6740557999999999,1.5300509999999998,1.6110537,1.6290542999999997,1.5660522,1.6380546,1.6290542999999997,1.6470548999999999,1.5930530999999999,1.5930530999999999,1.5840528,1.5840528,1.5660522,1.5750524999999997,1.5660522,1.6290542999999997,1.5930530999999999,1.5930530999999999,1.6290542999999997,1.6560551999999997,1.6560551999999997,1.5750524999999997,1.6560551999999997,1.5750524999999997,1.5390513,1.5660522,1.5300509999999998
