s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
100,1.530051,1.2600419999999999,1.6200539999999999,2.0700689999999997,1.8000599999999998,1.440048,2.160072,1.6200539999999999,1.2600419999999999,1.710057,1.8000599999999998,1.8000599999999998,1.530051,1.6200539999999999,0.9900329999999999,1.3500449999999997,1.530051,1.710057,1.6200539999999999,0.9900329999999999,1.2600419999999999,1.8000599999999998,1.8000599999999998,1.6200539999999999,1.6200539999999999,1.6200539999999999,1.8000599999999998,1.3500449999999997,1.440048,1.2600419999999999,0.9900329999999999,1.1700389999999998,1.8900629999999998,1.9800659999999999,1.3500449999999997,2.160072,1.440048,1.1700389999999998,1.8900629999999998,1.530051,2.0700689999999997,1.8900629999999998,2.0700689999999997,2.3400779999999997,1.3500449999999997,1.6200539999999999,1.2600419999999999,1.080036,1.2600419999999999,1.1700389999999998
200,1.530051,1.440048,1.3950465,1.7550584999999999,1.5750525,1.440048,1.7550584999999999,1.6200539999999999,1.440048,1.6650555,1.6200539999999999,1.5750525,1.3950465,1.4850494999999997,1.6200539999999999,1.4850494999999997,1.8000599999999998,1.6200539999999999,1.5750525,1.6650555,1.440048,1.530051,1.440048,1.5750525,1.6650555,1.5750525,1.7550584999999999,1.5750525,1.7550584999999999,1.710057,1.6200539999999999,1.440048,1.6200539999999999,1.3500449999999997,1.8900629999999998,1.5750525,1.5750525,1.8450615,1.3950465,1.8000599999999998,1.530051,1.7550584999999999,1.5750525,1.710057,1.710057,1.6650555,1.6200539999999999,1.5750525,1.1700389999999998,1.6650555
300,1.680056,1.5300509999999998,1.590053,1.770059,1.6200539999999999,1.4700489999999997,1.4700489999999997,1.770059,1.6500549999999998,1.7400579999999999,1.230041,1.5000499999999999,1.8600619999999999,1.6200539999999999,1.6500549999999998,1.6500549999999998,1.6200539999999999,1.5600519999999998,1.410047,1.590053,1.6500549999999998,1.7100569999999997,1.7100569999999997,1.6200539999999999,1.6200539999999999,1.7400579999999999,1.830061,1.320044,1.6200539999999999,1.5600519999999998,1.590053,1.5000499999999999,1.6200539999999999,1.8000599999999998,1.5300509999999998,1.5000499999999999,1.440048,1.5300509999999998,1.680056,1.5600519999999998,1.5300509999999998,1.830061,1.5000499999999999,1.6200539999999999,1.9200639999999998,1.590053,1.7400579999999999,1.410047,1.6200539999999999,1.4700489999999997
400,1.530051,1.6875562499999999,1.7550584999999999,1.6875562499999999,1.3950465,1.4850494999999997,1.3725457499999998,1.4175472499999997,1.4175472499999997,1.710057,1.46254875,1.6650555,1.77755925,1.55255175,1.64255475,1.6200539999999999,1.440048,1.5750525,1.59755325,1.530051,1.55255175,1.4850494999999997,1.6200539999999999,2.0250675,1.64255475,1.59755325,1.710057,1.530051,1.6650555,1.5750525,1.6200539999999999,1.530051,1.530051,1.46254875,1.55255175,1.77755925,1.3050434999999998,1.8225607499999998,1.64255475,1.6200539999999999,1.64255475,1.6200539999999999,1.5750525,1.73255775,1.8450615,1.5750525,1.6875562499999999,1.530051,1.59755325,1.5750525
500,1.6560551999999997,1.3680455999999999,1.4580486,1.6560551999999997,1.5840528,1.6560551999999997,1.7460582,1.4040468,1.4760491999999998,1.6740557999999999,1.9260642,1.4760491999999998,1.5480515999999998,1.6560551999999997,1.7100569999999997,1.6920564,1.6200539999999999,1.4040468,1.6920564,1.6020533999999997,1.6740557999999999,1.80006,1.5840528,1.4580486,1.80006,1.5300509999999998,1.6020533999999997,1.350045,1.5660522,1.6560551999999997,1.5120504,1.5840528,1.6920564,1.5660522,1.7820593999999998,1.5840528,1.4400479999999998,1.5660522,1.6740557999999999,1.4760491999999998,1.6380546,1.6560551999999997,1.6020533999999997,1.5300509999999998,1.7640587999999997,1.7460582,1.7820593999999998,1.6200539999999999,1.5120504,1.6920564
600,1.5600519999999998,1.5300509999999998,1.5450515,1.590053,1.7100569999999997,1.5450515,1.590053,1.5150504999999999,1.6050535,1.7400579999999999,1.4700489999999997,1.5450515,1.5300509999999998,1.5300509999999998,1.770059,1.6350544999999999,1.4700489999999997,1.7400579999999999,1.590053,1.5000499999999999,1.4850495,1.6650554999999998,1.7250575,1.7400579999999999,1.410047,1.5150504999999999,1.590053,1.4250474999999998,1.4700489999999997,1.6050535,1.6050535,1.6650554999999998,1.7250575,1.590053,1.5300509999999998,1.440048,1.5450515,1.5600519999999998,1.3950464999999999,1.5750525,1.6500549999999998,1.6200539999999999,1.6050535,1.6500549999999998,1.5750525,1.6050535,1.4700489999999997,1.590053,1.590053,1.7400579999999999
700,1.6714842857142858,1.6457691428571428,1.4657631428571427,1.7357721428571427,1.7486297142857143,1.5429085714285713,1.6071964285714284,1.5300509999999998,1.6457691428571428,1.5171934285714286,1.6071964285714284,1.6457691428571428,1.5686237142857142,1.5686237142857142,1.6714842857142858,1.4786207142857142,1.5171934285714286,1.5171934285714286,1.710057,1.5686237142857142,1.658626714285714,1.5943388571428572,1.6329115714285714,1.5429085714285713,1.658626714285714,1.6457691428571428,1.6329115714285714,1.440048,1.4657631428571427,1.5686237142857142,1.684341857142857,1.4914782857142856,1.6457691428571428,1.5557661428571428,1.5429085714285713,1.6971994285714282,1.658626714285714,1.6457691428571428,1.504335857142857,1.8000599999999998,1.684341857142857,1.684341857142857,1.4271904285714285,1.5943388571428572,1.6457691428571428,1.6071964285714284,1.6329115714285714,1.5686237142857142,1.6071964285714284,1.5171934285714286
800,1.4512983749999997,1.676305875,1.541301375,1.608803625,1.6650555,1.496299875,1.55255175,1.608803625,1.530051,1.8450615,1.530051,1.518800625,1.6200539999999999,1.4512983749999997,1.608803625,1.428797625,1.586302875,1.59755325,1.563802125,1.59755325,1.586302875,1.46254875,1.3837961249999997,1.631304375,1.631304375,1.541301375,1.64255475,1.743808125,1.676305875,1.6650555,1.5750525,1.710057,1.64255475,1.6538051249999999,1.6538051249999999,1.608803625,1.518800625,1.608803625,1.50755025,1.541301375,1.563802125,1.586302875,1.4512983749999997,1.6538051249999999,1.631304375,1.440048,1.586302875,1.73255775,1.563802125,1.541301375
900,1.6900563333333332,1.5800526666666665,1.4800493333333333,1.660055333333333,1.5200506666666667,1.660055333333333,1.6500549999999998,1.4900496666666665,1.6200539999999999,1.5200506666666667,1.630054333333333,1.6400546666666667,1.710057,1.5300509999999998,1.6800559999999998,1.6500549999999998,1.5800526666666665,1.5200506666666667,1.5200506666666667,1.5200506666666667,1.600053333333333,1.5300509999999998,1.5300509999999998,1.5700523333333334,1.5700523333333334,1.5500516666666666,1.5500516666666666,1.7000566666666665,1.4700489999999997,1.710057,1.5400513333333334,1.600053333333333,1.6900563333333332,1.750058333333333,1.630054333333333,1.5300509999999998,1.6700556666666666,1.710057,1.6500549999999998,1.590053,1.5600519999999998,1.5600519999999998,1.5500516666666666,1.590053,1.6500549999999998,1.6700556666666666,1.6500549999999998,1.5400513333333334,1.600053333333333,1.710057
1000,1.6380546,1.5030500999999998,1.6380546,1.5570518999999998,1.5120504,1.5300509999999998,1.6020533999999997,1.6200539999999999,1.6110537,1.5390513,1.5030500999999998,1.6830560999999997,1.4490482999999998,1.5750524999999997,1.6290542999999997,1.6560551999999997,1.7370578999999997,1.4940497999999998,1.5210506999999998,1.5930530999999999,1.6380546,1.6650555,1.6920564,1.4940497999999998,1.6200539999999999,1.4490482999999998,1.5300509999999998,1.7550584999999999,1.6560551999999997,1.6200539999999999,1.7100569999999997,1.5750524999999997,1.4850495,1.6110537,1.6470548999999999,1.5570518999999998,1.5750524999999997,1.6830560999999997,1.5390513,1.6200539999999999,1.4940497999999998,1.5570518999999998,1.6560551999999997,1.6470548999999999,1.6470548999999999,1.5840528,1.5120504,1.6020533999999997,1.7550584999999999,1.7010566999999999
1100,1.5709614545454544,1.6200539999999999,1.6200539999999999,1.6200539999999999,1.4891405454545454,1.6855107272727272,1.505504727272727,1.5464151818181817,1.5873256363636363,1.4973226363636363,1.6200539999999999,1.611871909090909,1.5300509999999998,1.5791435454545453,1.5300509999999998,1.603689818181818,1.4645942727272727,1.6609644545454545,1.6364181818181818,1.6691465454545453,1.5873256363636363,1.5955077272727272,1.611871909090909,1.6527823636363634,1.5955077272727272,1.611871909090909,1.5873256363636363,1.5627793636363636,1.6527823636363634,1.7264211818181816,1.4727763636363636,1.505504727272727,1.5709614545454544,1.5709614545454544,1.5545972727272725,1.5791435454545453,1.6364181818181818,1.6364181818181818,1.5382330909090909,1.6200539999999999,1.5300509999999998,1.5873256363636363,1.5545972727272725,1.5709614545454544,1.5300509999999998,1.4727763636363636,1.521868909090909,1.5873256363636363,1.693692818181818,1.6446002727272726
1200,1.6275542499999998,1.5825527499999998,1.6650554999999998,1.5975532499999998,1.5750525,1.67255575,1.61255375,1.5825527499999998,1.7175572499999998,1.53755125,1.590053,1.6350544999999999,1.64255475,1.590053,1.590053,1.5600519999999998,1.5300509999999998,1.3800459999999999,1.55255175,1.64255475,1.5600519999999998,1.53755125,1.6650554999999998,1.53755125,1.6875562499999999,1.65755525,1.5975532499999998,1.5450515,1.53755125,1.410047,1.5675522499999999,1.6650554999999998,1.64255475,1.5450515,1.5150504999999999,1.590053,1.64255475,1.6500549999999998,1.410047,1.590053,1.53755125,1.590053,1.6875562499999999,1.55255175,1.6200539999999999,1.53755125,1.4850495,1.64255475,1.47754925,1.6275542499999998
