s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1100,1.628236091,1.562779364,1.587325636,1.644600273,1.579143545,1.620054,1.759149545,1.644600273,1.521868909,1.587325636,1.693692818,1.620054,1.603689818,1.530051,1.464594273,1.530051,1.644600273,1.538233091,1.685510727,1.489140545,1.660964455,1.538233091,1.562779364,1.628236091,1.562779364,1.587325636,1.669146545,1.726421182,1.636418182,1.440048,1.579143545,1.652782364,1.669146545,1.562779364,1.611871909,1.620054,1.636418182,1.603689818,1.513686818,1.579143545,1.570961455,1.742785364,1.480958455,1.521868909,1.677328636,1.620054,1.685510727,1.554597273,1.489140545,1.546415182
1200,1.44754825,1.38754625,1.6350545,1.5750525,1.560052,1.5450515,1.620054,1.4850495,1.6050535,1.590053,1.56755225,1.67255575,1.5750525,1.68755625,1.68755625,1.56755225,1.5750525,1.410047,1.5450515,1.530051,1.680056,1.58255275,1.70255675,1.5450515,1.6050535,1.65755525,1.65755525,1.6050535,1.590053,1.5450515,1.67255575,1.410047,1.620054,1.560052,1.5750525,1.5450515,1.65755525,1.650055,1.620054,1.64255475,1.52255075,1.5450515,1.6950565,1.62755425,1.56755225,1.50755025,1.6050535,1.55255175,1.560052,1.50005
1300,1.640823923,1.585437462,1.536974308,1.592360769,1.578514154,1.613130692,1.398508154,1.578514154,1.557744231,1.592360769,1.585437462,1.550820923,1.578514154,1.613130692,1.703133692,1.626977308,1.647747231,1.633900615,1.668517154,1.585437462,1.633900615,1.620054,1.633900615,1.564667538,1.696210385,1.502357769,1.509281077,1.536974308,1.661593846,1.640823923,1.613130692,1.592360769,1.613130692,1.710057,1.592360769,1.654670538,1.696210385,1.626977308,1.675440462,1.806983308,1.495434462,1.557744231,1.523127692,1.578514154,1.689287077,1.744673538,1.689287077,1.592360769,1.647747231,1.626977308
1400,1.607196429,1.645769143,1.626482786,1.6650555,1.510764643,1.549337357,1.639340357,1.658626714,1.587910071,1.600767643,1.5750525,1.530051,1.478620714,1.562194929,1.632911571,1.639340357,1.639340357,1.549337357,1.530051,1.607196429,1.690770643,1.639340357,1.632911571,1.536479786,1.562194929,1.6650555,1.549337357,1.684341857,1.568623714,1.6650555,1.568623714,1.594338857,1.652197929,1.452905571,1.4850495,1.613625214,1.536479786,1.620054,1.639340357,1.703628214,1.632911571,1.536479786,1.594338857,1.491478286,1.620054,1.722914571,1.530051,1.510764643,1.626482786,1.510764643
1500,1.6080536,1.6260542,1.6140538,1.6260542,1.6140538,1.5120504,1.590053,1.5960532,1.4880496,1.6260542,1.5840528,1.590053,1.560052,1.4760492,1.5780526,1.6020534,1.620054,1.650055,1.6680556,1.590053,1.620054,1.6740558,1.5480516,1.6560552,1.6560552,1.5960532,1.7880596,1.560052,1.6560552,1.5660522,1.6140538,1.6140538,1.6440548,1.5360512,1.6020534,1.5120504,1.5480516,1.6320544,1.6080536,1.650055,1.590053,1.5720524,1.5480516,1.6620554,1.5660522,1.530051,1.6440548,1.5780526,1.6320544,1.6260542
1600,1.535676187,1.648179938,1.59755325,1.625679187,1.636929562,1.5750525,1.670680687,1.569427312,1.445673188,1.580677688,1.749433313,1.603178437,1.614428813,1.586302875,1.659430312,1.715682188,1.4850495,1.591928062,1.530051,1.490674687,1.535676187,1.653805125,1.541301375,1.591928062,1.591928062,1.59755325,1.59755325,1.563802125,1.591928062,1.59755325,1.580677688,1.6650555,1.530051,1.608803625,1.620054,1.614428813,1.513175438,1.5750525,1.59755325,1.693181437,1.55255175,1.569427312,1.603178437,1.591928062,1.5750525,1.5750525,1.513175438,1.614428813,1.64255475,1.620054
1700,1.646525471,1.635936882,1.508873824,1.598876824,1.545933882,1.540639588,1.625348294,1.540639588,1.672996941,1.588288235,1.630642588,1.567111059,1.514168118,1.662408353,1.609465412,1.614759706,1.561816765,1.672996941,1.514168118,1.567111059,1.598876824,1.725939882,1.635936882,1.477108059,1.598876824,1.535345294,1.614759706,1.588288235,1.625348294,1.535345294,1.588288235,1.662408353,1.492990941,1.492990941,1.519462412,1.662408353,1.667702647,1.609465412,1.524756706,1.582993941,1.540639588,1.657114059,1.545933882,1.582993941,1.556522471,1.683585529,1.551228176,1.662408353,1.588288235,1.604171118
1800,1.525050833,1.690056333,1.6050535,1.5750525,1.6950565,1.520050667,1.555051833,1.560052,1.680056,1.590053,1.585052833,1.550051667,1.530051,1.595053167,1.595053167,1.585052833,1.560052,1.565052167,1.460048667,1.525050833,1.595053167,1.615053833,1.585052833,1.550051667,1.640054667,1.560052,1.525050833,1.640054667,1.705056833,1.525050833,1.520050667,1.555051833,1.660055333,1.580052667,1.615053833,1.490049667,1.490049667,1.595053167,1.525050833,1.600053333,1.565052167,1.600053333,1.5450515,1.610053667,1.570052333,1.640054667,1.540051333,1.620054,1.645054833,1.580052667
1900,1.61058,1.591632,1.506366,1.558473,1.601106,1.530051,1.601106,1.572684,1.639002,1.530051,1.572684,1.558473,1.639002,1.591632,1.558473,1.620054,1.686372,1.534788,1.61058,1.577421,1.548999,1.591632,1.567947,1.662687,1.70532,1.781112,1.586895,1.548999,1.591632,1.586895,1.672161,1.634265,1.496892,1.691109,1.558473,1.591632,1.577421,1.586895,1.506366,1.61058,1.676898,1.577421,1.511103,1.601106,1.582158,1.56321,1.629528,1.601106,1.530051,1.582158
2000,1.52555085,1.6290543,1.60655355,1.62455415,1.620054,1.6920564,1.64255475,1.55255175,1.54355145,1.59755325,1.61555385,1.6290543,1.47154905,1.58855295,1.63355445,1.5750525,1.6110537,1.55255175,1.66955565,1.5840528,1.58855295,1.530051,1.6380546,1.6560552,1.5840528,1.5480516,1.6740558,1.57055235,1.6290543,1.5390513,1.57055235,1.6290543,1.55255175,1.61555385,1.530051,1.6560552,1.57055235,1.5120504,1.40854695,1.5840528,1.6650555,1.6110537,1.4940498,1.75055835,1.4130471,1.620054,1.57955265,1.58855295,1.6830561,1.54355145
