s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1100,1.7427853636363635,1.5545972727272725,1.710057,1.5709614545454544,1.6282360909090907,1.603689818181818,1.7264211818181816,1.7346032727272727,1.611871909090909,1.6282360909090907,1.6200539999999999,1.4727763636363636,1.857334636363636,1.783695818181818,1.8164241818181817,1.5873256363636363,1.6691465454545453,1.505504727272727,1.5464151818181817,1.6364181818181818,1.5300509999999998,1.7182390909090908,1.5791435454545453,1.5382330909090909,1.5545972727272725,1.6364181818181818,1.5955077272727272,1.6364181818181818,1.6855107272727272,1.7264211818181816,1.5300509999999998,1.6446002727272726,1.521868909090909,1.423683818181818,1.4973226363636363,1.5791435454545453,1.440048,1.4809584545454544,1.423683818181818,1.5955077272727272,1.7673316363636362,1.4482300909090908,1.505504727272727,1.6691465454545453,1.6364181818181818,1.8409704545454544,1.6691465454545453,1.5873256363636363,1.521868909090909,1.5545972727272725
1200,1.7325577499999998,1.7550584999999996,1.5825527499999998,1.6050535,1.5975532499999998,1.5300509999999998,1.4925497499999998,1.43254775,1.5600519999999998,1.6650554999999998,1.6200539999999999,1.590053,1.5825527499999998,1.5600519999999998,1.7850594999999998,1.5975532499999998,1.5300509999999998,1.55255175,1.7775592499999997,1.6875562499999999,1.53755125,1.6500549999999998,1.4925497499999998,1.6650554999999998,1.5825527499999998,1.5975532499999998,1.6050535,1.6650554999999998,1.7775592499999997,1.7250575,1.53755125,1.6200539999999999,1.7250575,1.4025467499999997,1.5975532499999998,1.5600519999999998,1.6350544999999999,1.67255575,1.6500549999999998,1.440048,1.4550485,1.65755525,1.4700489999999997,1.6650554999999998,1.4025467499999997,1.7250575,1.4625487499999998,1.590053,1.4550485,1.5600519999999998
1300,1.4400479999999998,1.460817923076923,1.7308269230769229,1.7792900769230768,1.571590846153846,1.6546705384615383,1.481587846153846,1.4954344615384614,1.6962103846153846,1.4746645384615384,1.5785141538461536,1.4054314615384615,1.6477472307692307,1.530051,1.5231276923076922,1.5577442307692306,1.530051,1.6408239230769228,1.6477472307692307,1.530051,1.5785141538461536,1.682363769230769,1.6754404615384615,1.5577442307692306,1.4954344615384614,1.7792900769230768,1.5162043846153845,1.6062073846153844,1.682363769230769,1.6892870769230768,1.5438976153846153,1.4469713076923076,1.6269773076923075,1.5646675384615383,1.5785141538461536,1.4954344615384614,1.4538946153846153,1.4746645384615384,1.5854374615384614,1.5992840769230767,1.6131306923076922,1.6408239230769228,1.7169803076923076,1.5923607692307693,1.4538946153846153,1.5162043846153845,1.5854374615384614,1.5854374615384614,1.550820923076923,1.6131306923076922
1400,1.6521979285714286,1.7229145714285714,1.5814812857142855,1.6071964285714284,1.4850494999999997,1.5621949285714283,1.6714842857142858,1.6650554999999998,1.7743448571428568,1.5171934285714286,1.7550584999999999,1.6007676428571427,1.5107646428571426,1.5879100714285712,1.4914782857142856,1.8000599999999998,1.658626714285714,1.504335857142857,1.549337357142857,1.3757601428571427,1.7550584999999999,1.6907706428571427,1.414332857142857,1.658626714285714,1.710057,1.7229145714285714,1.6007676428571427,1.5364797857142858,1.5429085714285713,1.5943388571428572,1.6200539999999997,1.6136252142857144,1.6264827857142856,1.6200539999999997,1.5686237142857142,1.4464767857142857,1.3886177142857141,1.5429085714285713,1.6393403571428569,1.6264827857142856,1.4914782857142856,1.6329115714285714,1.4207616428571428,1.5557661428571428,1.6714842857142858,1.6714842857142858,1.5300509999999998,1.6457691428571428,1.8064887857142857,1.6907706428571427
1500,1.6020533999999997,1.590053,1.5360512,1.5540517999999999,1.6080535999999999,1.6200539999999999,1.7880596,1.5180505999999998,1.7640587999999997,1.7340578,1.7700589999999998,1.5480515999999998,1.5660521999999997,1.6320544,1.6560551999999997,1.6620553999999998,1.7640587999999997,1.7460581999999998,1.6560551999999997,1.5480515999999998,1.470049,1.5120503999999997,1.5960532,1.5660521999999997,1.6440548,1.5360512,1.6320544,1.6620553999999998,1.8000599999999998,1.6380545999999998,1.6080535999999999,1.6920563999999998,1.4160472,1.6380545999999998,1.6260541999999998,1.6560551999999997,1.6080535999999999,1.7220574,1.6980566,1.7220574,1.5720523999999998,1.470049,1.6740557999999999,1.4640487999999998,1.7160571999999998,1.4940497999999998,1.4820494,1.4520484,1.5300509999999998,1.5300509999999998
1600,1.6256791874999998,1.59755325,1.6256791874999998,1.631304375,1.5356761874999998,1.55255175,1.6200539999999999,1.77755925,1.541301375,1.563802125,1.6031784374999998,1.6369295624999998,1.7269325624999998,1.4062968749999998,1.5694273124999998,1.6256791874999998,1.4906746874999999,1.6875562499999999,1.530051,1.6594303124999998,1.4062968749999998,1.6819310625,1.64255475,1.5469265625,1.5469265625,1.7044318124999998,1.5919280624999999,1.563802125,1.5806776875,1.473799125,1.4906746874999999,1.6256791874999998,1.6538051249999999,1.6256791874999998,1.46254875,1.7044318124999998,1.5244258124999999,1.6256791874999998,1.6144288125,1.6594303124999998,1.5750525,1.5244258124999999,1.6650555,1.7213073749999999,1.7381829374999997,1.4569235624999999,1.6144288125,1.5244258124999999,1.6200539999999999,1.5131754375
1700,1.7577056470588233,1.4876966470588235,1.556522470588235,1.4665194705882352,1.440048,1.715351294117647,1.7788828235294116,1.5459338823529412,1.6465254705882353,1.5141681176470587,1.6677026470588234,1.6624083529411764,1.6571140588235294,1.5459338823529412,1.5882882352941174,1.6306425882352942,1.6200539999999999,1.4929909411764704,1.6994684117647056,1.5088738235294117,1.6041711176470586,1.540639588235294,1.4771080588235292,1.455930882352941,1.4929909411764704,1.635936882352941,1.535345294117647,1.6888798235294116,1.4824023529411763,1.6041711176470586,1.6888798235294116,1.7841771176470587,1.625348294117647,1.7577056470588233,1.6200539999999999,1.4718137647058824,1.6041711176470586,1.5988768235294117,1.540639588235294,1.519462411764706,1.6677026470588234,1.6094654117647058,1.6465254705882353,1.4876966470588235,1.4824023529411763,1.6200539999999999,1.5724053529411763,1.6677026470588234,1.651819764705882,1.4612251764705881
1800,1.6950564999999997,1.600053333333333,1.6700556666666666,1.7550584999999999,1.7450581666666667,1.5050501666666667,1.6500549999999998,1.6750558333333332,1.5200506666666667,1.5550518333333334,1.4850495,1.5650521666666666,1.6700556666666666,1.6550551666666666,1.6950564999999997,1.6200539999999999,1.6550551666666666,1.5750524999999997,1.5750524999999997,1.5200506666666667,1.4000466666666667,1.7550584999999999,1.660055333333333,1.5950531666666665,1.5200506666666667,1.4850495,1.6050535,1.5750524999999997,1.5600519999999998,1.4900496666666665,1.600053333333333,1.5800526666666665,1.600053333333333,1.5700523333333334,1.5350511666666666,1.600053333333333,1.7250575,1.5250508333333332,1.660055333333333,1.5550518333333334,1.5950531666666665,1.720057333333333,1.4750491666666665,1.5700523333333334,1.5650521666666666,1.5650521666666666,1.5300509999999998,1.7000566666666665,1.5850528333333334,1.7400579999999999
1900,1.5489989999999998,1.5442619999999998,1.7147939999999997,1.596369,1.5868949999999997,1.6247909999999999,1.61058,1.5158399999999999,1.539525,1.6153169999999997,1.5111029999999999,1.6484759999999998,1.440048,1.5774209999999997,1.6768979999999998,1.70532,1.5158399999999999,1.5300509999999998,1.487418,1.695846,1.6200539999999999,1.6626869999999998,1.567947,1.539525,1.5868949999999997,1.5347879999999998,1.5868949999999997,1.5868949999999997,1.492155,1.458996,1.5253139999999998,1.7384789999999999,1.605843,1.6532129999999998,1.605843,1.6768979999999998,1.496892,1.681635,1.492155,1.5774209999999997,1.5111029999999999,1.496892,1.596369,1.539525,1.6437389999999998,1.605843,1.487418,1.46847,1.6153169999999997,1.6863719999999998
2000,1.5120504,1.7640587999999997,1.5075502499999998,1.4805493499999998,1.57055235,1.5615520499999997,1.5210506999999998,1.4940497999999998,1.6155538499999997,1.5750524999999997,1.6110537,1.6830560999999997,1.5300509999999998,1.6290542999999997,1.62455415,1.6290542999999997,1.59755325,1.52555085,1.5615520499999997,1.6200539999999999,1.6065535499999999,1.5300509999999998,1.6200539999999999,1.7010566999999999,1.4895496499999998,1.5345511499999998,1.5885529499999997,1.5570518999999998,1.80006,1.5930530999999999,1.5615520499999997,1.5840528,1.6875562499999999,1.52555085,1.5840528,1.5570518999999998,1.65155505,1.4490482999999998,1.6200539999999999,1.7145571499999999,1.5480515999999998,1.6155538499999997,1.6380546,1.57955265,1.6155538499999997,1.49854995,1.5840528,1.6650555,1.5120504,1.6200539999999999
2100,1.5986247142857142,1.4271904285714285,1.6114822857142856,1.7614872857142856,1.6071964285714284,1.5557661428571428,1.6371974285714286,1.5814812857142855,1.4786207142857142,1.444333857142857,1.5471944285714285,1.5686237142857142,1.6714842857142855,1.6329115714285714,1.6457691428571428,1.7572014285714284,1.6114822857142856,1.5857671428571427,1.6114822857142856,1.5857671428571427,1.684341857142857,1.5900529999999997,1.5771954285714285,1.5729095714285715,1.6929135714285712,1.5986247142857142,1.684341857142857,1.5514802857142855,1.6071964285714284,1.5514802857142855,1.5086217142857141,1.6714842857142855,1.564337857142857,1.534336857142857,1.5557661428571428,1.6029105714285712,1.658626714285714,1.6414832857142856,1.5214792857142856,1.5857671428571427,1.5257651428571426,1.6071964285714284,1.6371974285714286,1.564337857142857,1.5771954285714285,1.6157681428571427,1.6414832857142856,1.5729095714285715,1.6543408571428568,1.6329115714285714
2200,1.6773286363636362,1.6200539999999999,1.6446002727272726,1.791877909090909,1.7018749090909089,1.603689818181818,1.5545972727272725,1.4523211363636364,1.5709614545454544,1.5709614545454544,1.656873409090909,1.5627793636363636,1.603689818181818,1.6241450454545454,1.431865909090909,1.5955077272727272,1.6282360909090907,1.5709614545454544,1.5750525,1.7223301363636363,1.5955077272727272,1.5832345909090908,1.6896017727272725,1.4727763636363636,1.6650554999999998,1.6814196818181817,1.6241450454545454,1.6323271363636362,1.4727763636363636,1.521868909090909,1.640509227272727,1.5300509999999998,1.5382330909090909,1.6486913181818181,1.4523211363636364,1.611871909090909,1.5505062272727272,1.5505062272727272,1.6527823636363634,1.603689818181818,1.6159629545454544,1.6486913181818181,1.6077808636363635,1.5423241363636362,1.5505062272727272,1.5914166818181816,1.6282360909090907,1.558688318181818,1.4605032272727272,1.611871909090909
2300,1.5652695652173914,1.702230652173913,1.710057,1.506571956521739,1.5457036956521737,1.635706695652174,1.530051,1.6396198695652173,1.5770090869565216,1.5457036956521737,1.4909192608695652,1.6983174782608694,1.6161408260869563,1.6670120869565217,1.612227652173913,1.5339641739130434,1.573095913043478,1.694404304347826,1.5691827391304347,1.6552725652173912,1.4870060869565216,1.530051,1.5535300434782608,1.612227652173913,1.5457036956521737,1.6474462173913043,1.573095913043478,1.4791797391304347,1.5770090869565216,1.6748384347826086,1.6748384347826086,1.506571956521739,1.596574956521739,1.4557006956521739,1.5378773478260868,1.5026587826086955,1.6474462173913043,1.7531019130434782,1.4674402173913041,1.530051,1.6278803478260868,1.5887486086956522,1.506571956521739,1.6200539999999999,1.635706695652174,1.580922260869565,1.5339641739130434,1.6748384347826086,1.6396198695652173,1.5535300434782608
